Gold Leaf Chile,Con Filtro,Rubio,Normal,True,0.7,6.95,Chile Tabacco Co. 1,6.5,2.0,10,20
Royal Blend Chile,Con Filtro,Rubio,Normal,True,0.76,5.98,Chile Tabacco Co. 1,6.5,2.0,10,20
Mountain Mist Chile,Sin Filtro,Rubio,Normal,True,0.74,2.33,Chile Tabacco Co. 1,6.5,2.0,10,20
Ocean Breeze Chile,Sin Filtro,Rubio,Normal,True,1.26,7.13,Chile Tabacco Co. 1,6.5,2.0,10,20
Urban Classic Chile,Con Filtro,Negro,Normal,False,0.13,12.97,Chile Tabacco Co. 1,6.5,2.0,10,20
Midnight Silk Chile,Sin Filtro,Negro,Normal,True,0.26,2.99,Chile Tabacco Co. 1,6.5,2.0,10,20
Highland Peak Chile,Con Filtro,Rubio,SuperLight,False,1.34,11.75,Chile Tabacco Co. 1,6.5,2.0,10,20
Silver Lining Chile,Con Filtro,Negro,Light,False,1.04,7.9,Chile Tabacco Co. 1,6.5,2.0,10,20
Amber Haze Chile,Sin Filtro,Rubio,Normal,True,0.64,4.72,Chile Tabacco Co. 1,6.5,2.0,10,20
Pure Essence Chile,Con Filtro,Negro,UltraLight,False,0.37,3.91,Chile Tabacco Co. 1,6.5,2.0,10,20
Gold Leaf Chile,Sin Filtro,Negro,Normal,False,0.24,7.55,Chile Tabacco Co. 2,6.5,2.0,10,20
Royal Blend Chile,Sin Filtro,Rubio,Normal,False,0.53,9.1,Chile Tabacco Co. 2,6.5,2.0,10,20
Mountain Mist Chile,Con Filtro,Rubio,Normal,True,1.32,9.77,Chile Tabacco Co. 2,6.5,2.0,10,20
Ocean Breeze Chile,Sin Filtro,Rubio,Normal,False,1.26,6.65,Chile Tabacco Co. 2,6.5,2.0,10,20
Urban Classic Chile,Con Filtro,Negro,Normal,True,0.84,10.26,Chile Tabacco Co. 2,6.5,2.0,10,20
Midnight Silk Chile,Sin Filtro,Negro,Normal,False,0.88,12.22,Chile Tabacco Co. 2,6.5,2.0,10,20
Highland Peak Chile,Sin Filtro,Negro,Normal,False,0.25,8.44,Chile Tabacco Co. 2,6.5,2.0,10,20
Silver Lining Chile,Sin Filtro,Rubio,Normal,False,0.46,12.43,Chile Tabacco Co. 2,6.5,2.0,10,20
Amber Haze Chile,Con Filtro,Rubio,Normal,True,0.22,11.42,Chile Tabacco Co. 2,6.5,2.0,10,20
Pure Essence Chile,Sin Filtro,Negro,Normal,True,1.36,11.03,Chile Tabacco Co. 2,6.5,2.0,10,20
Gold Leaf Chile,Con Filtro,Rubio,UltraLight,False,0.61,3.97,Chile Tabacco Co. 3,6.5,2.0,10,20
Royal Blend Chile,Con Filtro,Rubio,Light,False,0.32,1.63,Chile Tabacco Co. 3,6.5,2.0,10,20
Mountain Mist Chile,Con Filtro,Negro,Light,False,0.89,13.42,Chile Tabacco Co. 3,6.5,2.0,10,20
Ocean Breeze Chile,Con Filtro,Rubio,Normal,True,0.69,1.16,Chile Tabacco Co. 3,6.5,2.0,10,20
Urban Classic Chile,Sin Filtro,Rubio,Normal,True,0.56,12.02,Chile Tabacco Co. 3,6.5,2.0,10,20
Midnight Silk Chile,Con Filtro,Rubio,Light,False,0.49,5.45,Chile Tabacco Co. 3,6.5,2.0,10,20
Highland Peak Chile,Sin Filtro,Negro,Normal,False,0.61,12.81,Chile Tabacco Co. 3,6.5,2.0,10,20
Silver Lining Chile,Sin Filtro,Rubio,Normal,False,1.42,1.49,Chile Tabacco Co. 3,6.5,2.0,10,20
Amber Haze Chile,Sin Filtro,Rubio,Normal,True,0.21,1.08,Chile Tabacco Co. 3,6.5,2.0,10,20
Pure Essence Chile,Con Filtro,Negro,UltraLight,False,0.37,3.42,Chile Tabacco Co. 3,6.5,2.0,10,20
Gold Leaf Chile,Sin Filtro,Rubio,Normal,True,0.88,10.09,Chile Tabacco Co. 4,6.5,2.0,10,20
Royal Blend Chile,Sin Filtro,Rubio,Normal,True,0.64,3.19,Chile Tabacco Co. 4,6.5,2.0,10,20
Mountain Mist Chile,Con Filtro,Negro,Normal,False,0.89,11.29,Chile Tabacco Co. 4,6.5,2.0,10,20
Ocean Breeze Chile,Sin Filtro,Negro,Normal,True,0.78,13.86,Chile Tabacco Co. 4,6.5,2.0,10,20
Urban Classic Chile,Con Filtro,Negro,Normal,True,0.24,4.18,Chile Tabacco Co. 4,6.5,2.0,10,20
Midnight Silk Chile,Con Filtro,Negro,Light,False,0.77,5.96,Chile Tabacco Co. 4,6.5,2.0,10,20
Highland Peak Chile,Sin Filtro,Negro,Normal,False,0.72,6.03,Chile Tabacco Co. 4,6.5,2.0,10,20
Silver Lining Chile,Con Filtro,Rubio,SuperLight,False,1.47,12.62,Chile Tabacco Co. 4,6.5,2.0,10,20
Amber Haze Chile,Con Filtro,Rubio,Light,False,0.47,7.65,Chile Tabacco Co. 4,6.5,2.0,10,20
Pure Essence Chile,Sin Filtro,Rubio,Normal,True,0.97,4.16,Chile Tabacco Co. 4,6.5,2.0,10,20
Gold Leaf Chile,Sin Filtro,Rubio,Normal,True,1.31,3.7,Chile Tabacco Co. 5,6.5,2.0,10,20
Royal Blend Chile,Con Filtro,Negro,Normal,True,1.04,12.49,Chile Tabacco Co. 5,6.5,2.0,10,20
Mountain Mist Chile,Con Filtro,Negro,Normal,True,0.84,5.88,Chile Tabacco Co. 5,6.5,2.0,10,20
Ocean Breeze Chile,Sin Filtro,Negro,Normal,True,0.32,8.04,Chile Tabacco Co. 5,6.5,2.0,10,20
Urban Classic Chile,Sin Filtro,Negro,Normal,True,1.29,4.38,Chile Tabacco Co. 5,6.5,2.0,10,20
